Event,Domain
event for Project Managers in Artificial Intelligence ,Management
Technex – IIT (BHU) – Techno-Management Fest – 2019,Management
NIT Jamshedpur – Techno-Management Fest – 2019 – Ojass,Management
RGUKT – Techno Management Cultural Fest – Abhiyanth – 2019,Management
National Facilities Management & Technology Conference & Expo,Management
One Day Session On Management Consulting Skills Mastery,Management
Atos Expert talk - Change Management & Augmented Reality,Management
Management: Leading Wisely | TED Studies | Read - TED Talks,Management
127 Management Intern jobs in India (2 new) - LinkedIn,Management
Management 3.0 Workshops & Events,Management
Workshop on Management | Events | Welcome to SRM ,Management
Management Training Workshops and Seminars: Helping You Grow Your Business by Becoming a Better.,Management
Training Courses | Grow Your Management Skills | Udemy?,Management
Management Skills Training | IMD Business School,Management
Management Skills for New Managers | MCE Training ,Management
Management and  business expo,Management
Management and legislation expo,Management
"Techspardha,the annual techno-managerial festival of National Institute of Technology, Kurukshetra is back in 2020",Management
"Techniche,Techno-Management festival  is golden opportunity for all techo geeks",Management
MJB technologies LLP is hiring for Business System Analyst - Project Management  position,Management
Accenture is hiring for TELECOM OPERATIONS-PROGRAM AND PROJECT MANAGEMENT position,Management
Proctur is hiring in Pune. Apply Now.,Management
The Management 2.0 Hackathon,Management
Get certification on Agile Crash Course: Agile Project Management; Agile Delivery,Management
"Webinar on""The Future of Management: Agile Leadership and Management 3.0""",Management
Register for Webinar : Management 3.0 – A Real Experiment with Agile Management Teams with no managers with Ralph van Roosmalen,Management
Webinar on October 2019: Leadership Agility for Modern Organizations and management with David Dame,Management
"Register for webinar on April 2019: Self management, the future of work, purpose-driven organizations and Holacracy with Brian Robertson",Management
bootcamp on  Align DevOps with IT Service Management (ITSM) ,Management
Project Management: Developing Project Schedules and Budgets a hands on session ,Management
chance to attend session on Time Management Power Tips: Prioritize Tasks for Better Productivity,Management
online conference on Project Management Essentials for Non-project Managers,Management
seminar on How can Agile Project Management Skills help in Delivering Top-Notch Customer's Delight?,Management
"Seminar on How to Pass the Project Management Professional (PMP) Exam, 6th Edition",Management
seminar on The Future of IT Service Management (ITSM) with ITIL 4,Management
"Register For Siebel CRM management  Free Live Webinar On 5th July, 7:00 PM (IST) ",Management
Advanced Research Publications Technology Management ,Management
PMP Project Management Professional,Management
Association of International Product Marketing and Management (AIPMM) Certified Brand Manager,Management
 American Management Association :Certificate in Analytical Skills,Management
Certified Associate in Project Management (CAPM),Management
Servicenow Asset Management training FREE Demo ,Management
"A motivational speech by Dr. L.S. Ganesh, Professor of Management Studies, IIT Madras",Management
Lecture on MANAGEMENT ETHOS – ANCIENT INDIAN KNOWLEDGE PERSPECTIVE by Prof. Rani Sadasiva Murty ,Management
Certified Project Management Practitioner (CPMP),Management
Business Acumen for Project Managers roles are hiring ,Management
BVOP Certified Project Manager,Management
Project Management Certificate (PMC),Management
PMI Risk Management Professional (PMI-RMP),Management
Agile Crash Course: Agile Project Management; Agile Delivery,Management
Cohesity TopCoder Challenge,Coding
Open Contest - Code Gladiators 2019,Coding
Code  Battle Begin !!!!,Coding
Participate in our latest Coding contest: 'Hack The Interview',Coding
Participate in national coding test now!!!,Coding
codefest 2020,Coding
UiPath Hiring Challenge- Code Your Way In,Coding
The Expert   coder,Coding
try for CAMPUS - CODE STACK19,Coding
BMC Software Code Warriors,Coding
Participate in CODE4HealthAsyst ,Coding
CodeExpedition: DestinationExpedia,Coding
Prime Code Champ 7,Coding
Beginner Code Champ 7,Coding
HONCODE Challenge,Coding
Alexa Skill Pro Challenge,Coding
Informatica Code-a-Thon 2018,Coding
Honeywell CODE2HON,Coding
CODE4VFSGLOBAL,Coding
TechGig Hour of Code,Coding
MagicFiserv Hackathon (Code Challenge),Coding
CA Technologies  Combat,Coding
Temenos Game of Codes,Coding
Cybage Code Wars,Coding
Amazon Code Combat,Coding
Mypoolin Code Contest,Coding
The Opus Code Rush 2016,Coding
Hour Of Code Challenge,Coding
BankBazaar's Coding Samurai,Coding
Roposo CodePlay Data Structures,Coding
"Get certification on ""The Coding Interview Bootcamp: Algorithms + Data Structures"" from  udemy",Coding
C# Developers: Learn the Art to do clean coding with certification ,Coding
#CODE19 Hackathon against covid19 is live from 20 th july,Coding
Hackathon codequest 2020 to be live next month,Coding
Code heist 2020 from codechef will begin from august,Coding
Code Chronicles 2.0 is back again,Coding
Codechef API hackathon -Use codechef API and alibaba to help the community,Coding
"MNNIT Allahabad proudly presents to you the second edition of our annual hackathon, Hack36. ",Coding
Coding Training - Kick-Start Your Career Today?,Coding
Coding Courses | Coursera,Coding
Coding Training Recommendations - Code Conquest,Coding
HackWithInfy 2020 Registrations: Deadline Extended!,Coding
Accenture Job Opportunity || Through Hack Diva 2020- Hackathon ||,Coding
HackWithInfy 2020 Registrations: Hurry! Last 3 days left!,Coding
Infosys HackWithInfy 2020 - A bright tomorrow awaits!,Coding
Be a part of the transformation: NITI Aayog - Pune Smart City > Hackathon : Savitribai Phule Pune University,Coding
"Hackathon @ Syngenta, Pune is live now",Coding
"Innovate with the best hackathon,",Coding
Student Contact Alert - Adobe CoDiva - International Women's Day Hackathon 2020 || Register now,Coding
Last week before the registrations for HackWithInfy 2020 closes!,Coding
talk on CISSP Certification Prep: Security and Risk Management,Security
Ethical hacking-(CEH) Course In GHaziabad Noida Delhi ,Security
learn cybersecurity skills in 15 days,Security
Try this brand new course on cybersecurity.,Security
Ethical hacking courses are live now!,Security
techexpo on Ethical Hacking: Enumeration 2020,Security
expo to the  Security Threats,Security
Architecting for Security on AWS internship for you,Security
Explore the Ways to Navigate Your Career in Cybersecurity,Security
Recruitment for Cybersecurity Analyst (CySA+): Threat Management,Security
5 Most In-Demand Cyber Security Roles,Security
Talk on CYBER SECURITY - Ethical Hacking ,Security
Colloquium talk on “Cryptography and it Applications in Information and Cyber Security” by Dr. Vishal Sgaraswat.,Security
"Talk on ""Cyber Security - Overview, Incidents Services, Risks in Evolving Technologies & Trends"" by Sachidananda S Javli, Director – Cyber Security, PwC India.",Security
online conference on  Develop a Robust IT Security Architecture for Your Enterprise,Security
presentation on Beyond Keystroke Logging and Trojans: How to Navigate the Changing Landscape of Cybersecurity,Security
2 day workshop on cybersecurity,Security
CEH: Understanding Ethical Hacking workshop join now,Security
Hands on session on cybersecurity tools,Security
The IBM Cybersecurity Analyst Professional Certificate is your entry point into a new career in #security.,Security
"Get your certification on ""Security in Google Cloud Platform"" from coursera",Security
Careerera is hiring  Information Security Specialist with elevant qualifications and a work experience of at least 2 years.,Security
Growth 360 is hiring  Cyber Security Lead,Security
Want to become Cyber Security Analyst? ShieldByte Infosec Pvt Ltd is hiring now,Security
Career Foresight HR Solution LLP is looking for Cyber Security Engineer with Contract role For 6 months,Security
Opsramp is hiring for a full time  Cyber Security -risk Manager,Security
Biggest security tech festival is coming back,Security
Expo to the security threats,Security
Cyber Security Conference India 2019,Security
Cyber Security Expo 2020,Security
Gartner Security & Risk Management Summit 2020,Security
Virtual Cyber Security Chicago Conference 2020,Security
"Security Guard Training Programs, Classes and Requirements",Security
Cyber Security Competition 2017,Security
European Cyber Security Challenge — ECSC,Security
Global Cyberlympics | International Hacking Competition,Security
IWSEC 2020(The 15th International Workshop on Security),Security
Cyber Security 2 Days Workshop | Training | Data Security,Security
Workshop on Security and Privacy in Big Data | 2020 IEEE INFOCOM,Security
Ideas about Security - TED Talks,Security
Cyber Security internship,Security
AAPA Port Security Seminar & Expo,Security
Ethical Hacking Training,Security
Hackmanthan - The Ethical Hacking Workshop (The Ethical Hacking & Cyber s Security Workshop),Security
Best Cyber Certification - Cyber Security Certification,Security
Hurry up! Get registered for ethical hacking course,Security
Ethical hacking courses are live now!,Security
